PPG,Red_Count_PPG,Red_Cost_PPG
App Dev,3.791469194,3.745500705
Azure,50,97.00236079
Azure Security,1.960784314,2.230315166
Biz Apps,4.918032787,19.35842071
CSA (Custom),0,0
Customer Engmt Mod_D365_BA,2.405498282,20.34731312
Data & AI,1.564945227,8.780893652
DT_Azure_Apps,1.724137931,14.55797489
DT_Azure_DAI,1.259445844,2.991037638
DT_D365_BA,0,0
DT_M365_MW,1.213171577,1.931698413
Enhanced Solution Support,0,0
Finance & Ops Mod_D365_BA,9.87654321,36.3385843
Infra,1.984126984,3.209520922
Mod_Azure_Apps,2.953586498,20.1096505
Mod_Azure_DAI,2.017291066,9.220867113
Mod_Azure_Infra,3.231597846,36.98893876
Mod_M365_MW,2.753195674,12.10018404
Mod_OnPrem_Apps,0.775193798,9.759135335
Mod_OnPrem_BA,1.538461538,4.484115784
Mod_OnPrem_DAI,0.934579439,2.536718671
MW,3.020667727,5.11863591
MW Security,1.492537313,1.658491349
Premier Support,0,0
Security Mod_Azure_Infra,3.521126761,8.498430778
Security Mod_M365_Infra,3.01369863,5.138113021
Security Mod_M365_MW,1.785714286,2.737285805
Security Mod_OnPrem_Infra,1.063829787,1.449219137
Server Infra/Security (Hybrid & On-Prem),0,0
Unified Support Base,0,0
Unknown,4.225352113,10.51049273
